,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Damian Lillard,G,6-2,195,"July 15, 1990",us,11,Weber State
1,,Keon Johnson,G,6-5,186,"March 10, 2002",us,2,Tennessee
2,,Shaedon Sharpe,G,6-6,200,"May 30, 2003",ca,1,Kentucky
3,,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,9,
4,,Anfernee Simons,G,6-3,181,"June 8, 1999",us,5,
5,,Jabari Walker,F,6-9,215,"July 30, 2002",us,1,Colorado
6,,Kevin Knox,F,6-7,215,"August 11, 1999",us,5,Kentucky
7,,Nassir Little,F,6-5,220,"February 11, 2000",us,4,UNC
8,,Scoot Henderson,G,6-4,195,"February 3, 2004",us,R,
9,,Ibou Badji (TW),C,7-1,240,"October 13, 2002",sn,R,
10,,Kris Murray,F,6-8,220,"August 19, 2000",us,R,Iowa
11,,Rayan Rupert,G,6-6,205,"May 31, 2004",fr,R,
12,,Matisse Thybulle,G,6-5,201,"March 4, 1997",us,4,Washington
13,,John Butler (TW),C,7-1,175,"December 4, 2002",us,1,Florida State
14,,Jerami Grant,F,6-8,210,"March 12, 1994",us,9,Syracuse
