,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Grant Williams,F,6-6,236,"November 30, 1998",us,4,Tennessee
1,,Derrick Jones Jr.,F,6-5,210,"February 15, 1997",us,7,UNLV
2,,Jordan Walker,G,5-11,170,"August 11, 1999",us,R,"Seton Hall, Tulane, UAB"
3,,Joe Wieskamp,G,6-6,212,"August 23, 1999",us,2,Iowa
4,,Greg Brown III,F,6-9,205,"September 1, 2001",us,2,Texas
5,,Seth Curry,G,6-2,185,"August 23, 1990",us,9,"Liberty, Duke"
6,,Mike Miles Jr. (TW),G,6-2,205,"August 24, 2002",us,R,TCU
7,,Olivier-Maxence Prosper,F,6-8,230,"July 3, 2002",ca,R,"Clemson, Marquette"
8,,Dante Exum,G,6-5,214,"July 13, 1995",au,6,
9,,Josh Green,G-F,6-5,200,"November 16, 2000",au,3,Arizona
10,,Dwight Powell,F-C,6-10,240,"July 20, 1991",ca,9,Stanford
11,,Dereck Lively II,C,7-1,230,"February 12, 2004",us,R,Duke
12,,Kyrie Irving,G,6-2,195,"March 23, 1992",au,12,Duke
13,,Maxi Kleber,F,6-10,240,"January 29, 1992",de,6,
14,,Jaden Hardy,G,6-4,198,"July 5, 2002",us,1,
15,,Tim Hardaway Jr.,G,6-5,205,"March 16, 1992",us,10,Michigan
16,,Luka Dončić,G-F,6-7,230,"February 28, 1999",si,5,
17,,Richaun Holmes,C-F,6-10,235,"October 15, 1993",us,8,Bowling Green
