,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Luguentz Dort,G,6-3,215,"April 19, 1999",ca,4,Arizona State
1,,Lindy Waters III (TW),G,6-6,215,"July 28, 1997",us,2,Oklahoma State
2,,Olivier Sarr (TW),C,7-0,237,"February 20, 1999",fr,2,"Wake Forest, Kentucky"
3,,Jack White,F,6-7,225,"August 5, 1997",au,1,Duke
4,,Vasilije Micić,G,6-5,200,"January 13, 1994",rs,R,
5,,Cason Wallace,G,6-4,193,"November 7, 2003",us,R,Kentucky
6,,Keyontae Johnson (TW),F,6-5,230,"May 24, 2000",us,R,"Florida, Kansas State"
7,,Isaiah Joe,G,6-4,165,"July 2, 1999",us,3,Arkansas
8,,Kenrich Williams,G-F,6-6,210,"December 2, 1994",us,5,TCU
9,,Jaylin Williams,F,6-10,240,"June 29, 2002",us,1,Arkansas
10,,Victor Oladipo,G,6-4,213,"May 4, 1992",us,10,Indiana
11,,Dāvis Bertāns,F,6-10,225,"November 12, 1992",lv,7,
12,,Ousmane Dieng,F,6-10,216,"May 21, 2003",fr,1,
13,,Chet Holmgren,F-C,7-0,195,"May 1, 2002",us,R,Gonzaga
14,,Jalen Williams,G,6-6,195,"April 14, 2001",us,1,Santa Clara
15,,Aaron Wiggins,G,6-6,200,"January 2, 1999",us,2,Maryland
16,,Jeremiah Robinson-Earl,F,6-9,230,"November 3, 2000",us,2,Villanova
17,,Josh Giddey,G,6-8,210,"October 10, 2002",au,2,
18,,Tre Mann,G,6-3,178,"February 3, 2001",us,2,Florida
19,,Shai Gilgeous-Alexander,G,6-6,180,"July 12, 1998",ca,5,Kentucky
20,,Aleksej Pokusevski,F,7-0,190,"December 26, 2001",rs,3,
