,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Jaren Jackson Jr.,F,6-11,242,"September 15, 1999",us,5,Michigan State
1,,Gregory Jackson II (TW),F,6-9,215,"December 17, 2004",us,R,South Carolina
2,,Shaquille Harrison,G,6-4,190,"October 6, 1993",us,6,Tulsa
3,,Derrick Rose,G,6-3,200,"October 4, 1988",us,14,Memphis
4,,Kenneth Lofton Jr.,F,6-7,275,"August 14, 2002",us,1,Louisiana Tech
5,,Brandon Clarke,F,6-8,215,"September 19, 1996",ca,4,"San Jose State, Gonzaga"
6,,Steven Adams,C,6-11,265,"July 20, 1993",nz,10,Pitt
7,,Ja Morant,G,6-3,174,"August 10, 1999",us,4,Murray State
8,,David Roddy,F,6-6,255,"March 27, 2001",us,1,Colorado State
9,,Jake LaRavia,F,6-8,235,"November 3, 2001",us,1,"Indiana State University, Wake Forest"
10,,John Konchar,G,6-5,210,"March 22, 1996",us,4,Purdue-Fort Wayne
11,,Marcus Smart,G,6-3,220,"March 6, 1994",us,9,Oklahoma State
12,,Isaiah Todd,F,6-10,220,"October 17, 2001",us,2,
13,,Santi Aldama,F,6-11,224,"January 10, 2001",es,2,Loyola (MD)
14,,Ziaire Williams,F,6-8,215,"September 12, 2001",us,2,Stanford
15,,Josh Christopher,G,6-5,215,"December 8, 2001",us,2,Arizona State
16,,Luke Kennard,G,6-5,206,"June 24, 1996",us,6,Duke
17,,Xavier Tillman Sr.,F,6-8,245,"January 12, 1999",us,3,Michigan State
18,,Desmond Bane,G,6-5,215,"June 25, 1998",us,3,TCU
