,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Jalen Wilson (TW),F,6-8,225,"November 4, 2000",us,R,Kansas
1,,Trendon Watford,F,6-9,240,"November 9, 2000",us,2,LSU
2,,Darius Bazley,F,6-8,208,"June 12, 2000",us,4,
3,,Armoni Brooks (TW),G,6-3,195,"June 5, 1998",us,2,Houston
4,,Dariq Whitehead,F,6-7,220,"August 1, 2004",us,R,Duke
5,,Lonnie Walker IV,G,6-4,204,"December 14, 1998",us,5,Miami (FL)
6,,Noah Clowney,F,6-10,210,"July 14, 2004",us,R,Alabama
7,,Dennis Smith Jr.,G,6-2,205,"November 25, 1997",us,6,NC State
8,,Cameron Johnson,F,6-8,210,"March 3, 1996",us,4,"Pitt, UNC"
9,,Ben Simmons,G-F,6-10,240,"July 20, 1996",au,5,LSU
10,,Nic Claxton,C,6-11,215,"April 17, 1999",us,4,Georgia
11,,Dorian Finney-Smith,F,6-7,220,"May 4, 1993",us,7,Florida
12,,Mikal Bridges,F-G,6-6,209,"August 30, 1996",us,5,Villanova
13,,Cam Thomas,G,6-4,210,"October 13, 2001",jp,2,LSU
14,,Spencer Dinwiddie,G,6-5,215,"April 6, 1993",us,9,Colorado
15,,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,2,UNC
16,,Royce O'Neale,F,6-4,226,"June 5, 1993",us,6,"Denver, Baylor"
