,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,10,USC
1,,Javonte Smart,G,6-4,205,"June 3, 1999",us,1,LSU
2,,Filip Petrušev,F-C,6-11,234,"April 15, 2000",rs,R,Gonzaga
3,,Ąžuolas Tubelis (TW),F,6-11,245,"March 22, 2002",lt,R,Arizona
4,,Montrezl Harrell,F-C,6-7,240,"January 26, 1994",us,8,Louisville
5,,Paul Reed,F,6-9,210,"June 14, 1999",us,3,DePaul
6,,Patrick Beverley,G,6-1,180,"July 12, 1988",us,11,Arkansas
7,,Mo Bamba,C,7-0,231,"May 12, 1998",us,5,Texas
8,,Terquavion Smith (TW),G,6-4,165,"December 31, 2002",us,R,NC State
9,,Ricky Council IV (TW),G,6-6,205,"August 3, 2001",us,R,"Wichita State, Arkansas"
10,,Tobias Harris,F,6-8,226,"July 15, 1992",us,12,Tennessee
11,,James Harden,G,6-5,220,"August 26, 1989",us,14,Arizona State
12,,Danuel House Jr.,G,6-6,220,"June 7, 1993",us,7,Texas A&M
13,,P.J. Tucker,F,6-5,245,"May 5, 1985",us,12,Texas
14,,Joel Embiid,C,7-0,280,"March 16, 1994",cm,7,Kansas
15,,Furkan Korkmaz,G,6-7,202,"July 24, 1997",tr,6,
16,,Jaden Springer,G,6-4,204,"September 25, 2002",us,2,Tennessee
17,,Tyrese Maxey,G,6-2,200,"November 4, 2000",us,3,Kentucky
18,,De'Anthony Melton,G,6-2,200,"May 28, 1998",us,5,USC
