,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Keita Bates-Diop,F,6-8,229,"January 23, 1996",us,5,Ohio State
1,,Udoka Azubuike (TW),C,6-10,280,"September 17, 1999",ng,3,Kansas
2,,Bol Bol,F-C,7-2,220,"November 16, 1999",sd,4,Oregon
3,,Saben Lee (TW),G,6-2,183,"June 23, 1999",us,3,Vanderbilt
4,,Josh Okogie,G,6-4,213,"September 1, 1998",ng,5,Georgia Tech
5,,Damion Lee,G,6-5,210,"October 21, 1992",us,6,"Drexel, Louisville"
6,,Eric Gordon,G-F,6-3,215,"December 25, 1988",us,15,Indiana
7,,Toumani Camara,F,6-8,220,"May 8, 2000",be,R,Dayton
8,,Drew Eubanks,F,6-9,245,"February 1, 1997",us,5,Oregon State
9,,Devin Booker,G,6-5,206,"October 30, 1996",us,8,Kentucky
10,,Yuta Watanabe,F,6-9,215,"October 13, 1994",jp,5,George Washington
11,,Chimezie Metu,F-C,6-9,225,"March 22, 1997",us,5,USC
12,,Jordan Goodwin,G,6-3,200,"October 23, 1998",us,2,Saint Louis
13,,Ish Wainright,F,6-6,250,"September 12, 1994",us,2,Baylor
14,,Deandre Ayton,C,6-11,250,"July 23, 1998",bs,5,Arizona
15,,Bradley Beal,G,6-4,207,"June 28, 1993",us,11,Florida
16,,Kevin Durant,F-G,6-10,240,"September 29, 1988",us,15,Texas
