,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Patty Mills,G,6-1,180,"August 11, 1988",au,14,Saint Mary's
1,,Wesley Matthews,G,6-4,220,"October 14, 1986",us,14,Marquette
2,,Seth Lundy (TW),G-F,6-6,220,"April 2, 2000",us,R,Penn State
3,,Miles Norris (TW),F,6-10,220,"April 15, 2000",us,R,"Oregon, City College of San Francisco, UC Santa Barbara"
4,,Kobe Bufkin,G,6-4,195,"September 21, 2003",us,R,Michigan
5,,Mouhamed Gueye,F,6-11,210,"November 9, 2002",sn,R,Washington State
6,,Bogdan Bogdanović,G,6-6,220,"August 18, 1992",rs,6,
7,,De'Andre Hunter,F,6-8,225,"December 2, 1997",us,4,Virginia
8,,Bruno Fernando,F,6-9,240,"August 15, 1998",ao,4,Maryland
9,,Dejounte Murray,G,6-4,180,"September 19, 1996",us,6,Washington
10,,AJ Griffin,F,6-6,222,"August 25, 2003",us,1,Duke
11,,Garrison Mathews,G,6-5,215,"October 24, 1996",us,4,Lipscomb
12,,Clint Capela,C,6-10,240,"May 18, 1994",ch,9,
13,,Trae Young,G,6-1,164,"September 19, 1998",us,5,Oklahoma
14,,Jalen Johnson,F,6-9,220,"December 18, 2001",us,2,Duke
15,,Saddiq Bey,F,6-7,215,"April 9, 1999",us,3,Villanova
16,,Onyeka Okongwu,F,6-8,235,"December 11, 2000",us,3,USC
