,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Bryce McGowens,G-F,6-7,179,"November 8, 2002",us,1,Nebraska
1,,P.J. Washington,F,6-7,230,"August 23, 1998",us,4,Kentucky
2,,Frank Ntilikina,G,6-4,200,"July 28, 1998",be,6,
3,,Leaky Black (TW),F,6-9,205,"June 14, 1999",us,R,UNC
4,,Amari Bailey (TW),G,6-5,185,"February 17, 2004",us,R,UCLA
5,,Miles Bridges,G-F,6-6,225,"March 21, 1998",us,4,Michigan State
6,,Brandon Miller,F-G,6-9,201,"November 22, 2002",us,R,Alabama
7,,Nick Smith Jr.,G,6-5,185,"April 18, 2004",us,R,Arkansas
8,,Nick Richards,F-C,7-0,245,"November 29, 1997",jm,3,Kentucky
9,,Gordon Hayward,F-G,6-7,225,"March 23, 1990",us,13,Butler
10,,Cody Martin,G-F,6-5,205,"September 28, 1995",us,4,"NC State, Nevada"
11,,Mark Williams,C,7-1,241,"December 16, 2001",us,1,Duke
12,,Terry Rozier,G,6-1,190,"March 17, 1994",us,8,Louisville
13,,JT Thor,F,6-10,205,"August 26, 2002",us,2,Auburn
14,,Kai Jones,F-C,6-11,218,"January 19, 2001",bs,2,Texas
15,,James Bouknight,G,6-5,190,"September 18, 2000",us,2,UConn
16,,LaMelo Ball,G,6-7,180,"August 22, 2001",us,3,
