,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Luka Šamanić,F,6-10,227,"January 9, 2000",hr,3,
1,,Nick Ongenda,C,6-11,230,"September 29, 2000",ca,R,DePaul
2,,Romeo Langford,G,6-4,216,"October 25, 1999",us,4,Indiana
3,,Taevion Kinsey,G,6-5,190,"March 10, 2000",us,R,Marshall
4,,Johnny Juzang (TW),G,6-7,215,"March 17, 2001",us,1,"Kentucky, UCLA"
5,,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,2,"NC State, Georgetown"
6,,Brice Sensabaugh,F,6-6,235,"October 30, 2003",us,R,Ohio State
7,,Taylor Hendricks,G,6-9,210,"November 22, 2003",us,R,Central Florida
8,,Keyonte George,G,6-4,185,"November 8, 2003",us,R,Baylor
9,,Joey Hauser (TW),F,6-9,230,"July 17, 1999",us,R,"Marquette, Michigan State"
10,,Jordan Clarkson,G,6-4,194,"June 7, 1992",us,9,"Tulsa, Missouri"
11,,Kris Dunn,G,6-3,205,"March 18, 1994",us,7,Providence
12,,Collin Sexton,G,6-1,190,"January 4, 1999",us,5,Alabama
13,,Simone Fontecchio,F,6-8,209,"December 9, 1995",it,1,
14,,Walker Kessler,C,7-1,245,"July 26, 2001",us,1,"UNC, Auburn"
15,,Ochai Agbaji,G,6-5,215,"April 20, 2000",us,1,Kansas
16,,Lauri Markkanen,F-C,7-0,240,"May 22, 1997",fi,6,Arizona
17,,Talen Horton-Tucker,G-F,6-4,234,"November 25, 2000",us,4,Iowa State
18,,John Collins,F,6-9,235,"September 23, 1997",us,6,Wake Forest
19,,Kelly Olynyk,C-F,6-11,240,"April 19, 1991",ca,10,Gonzaga
