,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Robert Covington,F-C,6-7,209,"December 14, 1990",us,10,Tennessee State
1,,Jordan Miller,G,6-7,195,"January 23, 2000",us,R,"George Mason, Miami (FL)"
2,,Moussa Diabaté (TW),F,6-11,210,"January 21, 2002",fr,1,Michigan
3,,Mason Plumlee,C-F,6-11,254,"March 5, 1990",us,10,Duke
4,,Russell Westbrook,G,6-3,200,"November 12, 1988",us,15,UCLA
5,,Kobe Brown,G-F,6-7,250,"January 1, 2000",us,R,Missouri
6,,Amir Coffey,G,6-7,210,"June 17, 1997",us,4,Minnesota
7,,Nicolas Batum,F-G,6-8,230,"December 14, 1988",fr,15,
8,,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,7,
9,,Marcus Morris,F,6-8,218,"September 2, 1989",us,12,Kansas
10,,Terance Mann,G-F,6-5,215,"October 18, 1996",us,4,Florida State
11,,Kawhi Leonard,F,6-7,225,"June 29, 1991",us,11,San Diego State
12,,Jason Preston,G,6-4,187,"August 10, 1999",us,1,Ohio University
13,,Brandon Boston Jr.,G-F,6-7,185,"November 28, 2001",us,2,Kentucky
14,,Bones Hyland,G,6-3,173,"September 14, 2000",us,2,VCU
15,,Norman Powell,G,6-3,215,"May 25, 1993",us,8,UCLA
16,,Paul George,F,6-8,220,"May 2, 1990",us,13,Fresno State
17,,Kenyon Martin Jr.,F,6-6,215,"January 6, 2001",us,3,
