,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Jalen Slawson (TW),F,6-7,215,"October 22, 1999",us,R,Furman University
1,,JaVale McGee,C,7-0,270,"January 19, 1988",us,15,Nevada
2,,Neemias Queta,C,7-0,245,"July 13, 1999",pt,2,Utah State University
3,,Nerlens Noel,C-F,6-11,220,"April 10, 1994",us,9,Kentucky
4,,Sasha Vezenkov,F,6-9,225,"August 6, 1995",cy,R,
5,,Alex Len,C,7-0,250,"June 16, 1993",ua,10,Maryland
6,,Trey Lyles,F,6-9,234,"November 5, 1995",ca,8,Kentucky
7,,Keon Ellis (TW),G,6-6,175,"January 8, 2000",us,1,"Florida SouthWestern State College, Alabama"
8,,Colby Jones,G,6-6,205,"May 28, 2002",us,R,Xavier
9,,Domantas Sabonis,C-F,6-11,240,"May 3, 1996",us,7,Gonzaga
10,,Harrison Barnes,F,6-8,225,"May 30, 1992",us,11,UNC
11,,Kessler Edwards,F,6-8,215,"August 9, 2000",us,2,Pepperdine
12,,Malik Monk,G,6-3,200,"February 4, 1998",us,6,Kentucky
13,,Keegan Murray,F,6-8,215,"August 19, 2000",us,1,Iowa
14,,Kevin Huerter,G,6-7,190,"August 27, 1998",us,5,Maryland
15,,Chris Duarte,G,6-6,190,"June 13, 1997",dr,2,Oregon
16,,Davion Mitchell,G,6-2,205,"September 5, 1998",us,2,"Auburn, Baylor"
17,,De'Aaron Fox,G,6-3,185,"December 20, 1997",us,6,Kentucky
