,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Andrew Nembhard,G,6-5,193,"January 16, 2000",ca,1,"Florida, Gonzaga"
1,,Kendall Brown (TW),G-F,6-8,205,"May 11, 2003",us,1,Baylor
2,,Bruce Brown,G-F,6-4,202,"August 15, 1996",us,5,Miami (FL)
3,,Ben Sheppard,G,6-6,190,"July 16, 2001",us,R,Belmont
4,,Oscar Tshiebwe (TW),F,6-9,260,"November 27, 1999",cd,R,"West Virginia, Kentucky"
5,,Isaiah Wong (TW),G,6-4,184,"January 28, 2001",us,R,Miami (FL)
6,,Jarace Walker,F,6-8,240,"September 4, 2003",us,R,Houston
7,,Myles Turner,C-F,6-11,250,"March 24, 1996",us,8,Texas
8,,Jordan Nwora,F,6-8,225,"September 9, 1998",us,3,Louisville
9,,Buddy Hield,G-F,6-4,220,"December 17, 1992",bs,7,Oklahoma
10,,Jalen Smith,F,6-10,215,"March 16, 2000",us,3,Maryland
11,,Bennedict Mathurin,G-F,6-6,210,"June 19, 2002",ca,1,Arizona
12,,Isaiah Jackson,C-F,6-10,206,"January 10, 2002",us,2,Kentucky
13,,T.J. McConnell,G,6-1,190,"March 25, 1992",us,8,"Duquesne, Arizona"
14,,Daniel Theis,C,6-8,245,"April 4, 1992",de,6,
15,,Tyrese Haliburton,G,6-5,185,"February 29, 2000",us,3,Iowa State
16,,Aaron Nesmith,G-F,6-5,215,"October 16, 1999",us,3,Vanderbilt
17,,Obi Toppin,F,6-9,220,"March 4, 1998",us,3,Dayton
