,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Danilo Gallinari,F,6-10,233,"August 8, 1988",it,13,
1,,Jared Butler (TW),G,6-3,195,"August 25, 2000",us,2,Baylor
2,,Eugene Omoruyi (TW),F,6-7,244,"February 14, 1997",ng,2,"Rutgers University, Oregon"
3,,Kyle Kuzma,F,6-9,221,"July 24, 1995",us,6,Utah
4,,Bilal Coulibaly,F,6-6,230,"July 26, 2004",fr,R,
5,,Xavier Cooks,F,6-8,183,"August 19, 1995",au,1,Winthrop University
6,,Jordan Poole,G,6-4,194,"June 19, 1999",us,4,Michigan
7,,Mike Muscala,F-C,6-10,240,"July 1, 1991",us,10,Bucknell
8,,Ryan Rollins,G,6-4,180,"July 3, 2002",us,1,Toledo
9,,Deni Avdija,G-F,6-9,210,"January 3, 2001",il,3,
10,,Delon Wright,G,6-5,185,"April 26, 1992",us,8,Utah
11,,Tyus Jones,G,6-0,196,"May 10, 1996",us,8,Duke
12,,Patrick Baldwin Jr.,G-F,6-9,220,"November 18, 2002",us,1,UW-Milwaukee
13,,Anthony Gill,F,6-7,230,"October 17, 1992",us,3,"South Carolina, Virginia"
14,,Johnny Davis,G,6-5,196,"February 27, 2002",us,1,Wisconsin
15,,Daniel Gafford,F,6-10,234,"October 1, 1998",us,4,Arkansas
16,,Landry Shamet,G,6-4,190,"March 13, 1997",us,5,Wichita State
17,,Corey Kispert,G-F,6-7,220,"March 3, 1999",us,2,Gonzaga
