,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Isaac Okoro,G-F,6-5,225,"January 26, 2001",us,3,Auburn
1,,Donovan Mitchell,G,6-1,215,"September 7, 1996",us,6,Louisville
2,,Evan Mobley,F-C,7-0,215,"June 18, 2001",us,2,USC
3,,Jarrett Allen,C-F,6-11,243,"April 21, 1998",us,6,Texas
4,,Damian Jones,F-C,6-11,245,"June 30, 1995",us,7,Vanderbilt
5,,Darius Garland,G,6-1,192,"January 26, 2000",us,4,Vanderbilt
6,,Ricky Rubio,G,6-2,190,"October 21, 1990",es,12,
7,,Dean Wade,F,6-9,228,"November 20, 1996",us,4,Kansas State
8,,Sam Merrill,G,6-4,205,"May 15, 1996",us,3,Utah State University
9,,Craig Porter Jr. (TW),G,6-2,186,"February 26, 2000",us,R,"Vincennes University, Wichita State"
10,,Isaiah Mobley (TW),F,6-10,240,"September 24, 1999",us,1,USC
11,,Max Strus,G,6-5,215,"March 28, 1996",us,4,"Lewis (IL), DePaul"
12,,Georges Niang,F,6-7,230,"June 17, 1993",us,7,Iowa State
13,,Caris LeVert,G-F,6-6,205,"August 25, 1994",us,7,Michigan
14,,Ty Jerome,G,6-5,195,"July 8, 1997",us,4,Virginia
15,,Emoni Bates (TW),G,6-10,170,"January 28, 2004",us,R,"Memphis, Eastern Michigan"
