,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Klay Thompson,G-F,6-6,215,"February 8, 1990",us,10,Washington State
1,,Jonathan Kuminga,F,6-8,210,"October 6, 2002",cd,2,
2,,Chris Paul,G,6-0,175,"May 6, 1985",us,18,Wake Forest
3,,Stephen Curry,G,6-2,185,"March 14, 1988",us,14,Davidson
4,,Moses Moody,G,6-6,205,"May 31, 2002",us,2,Arkansas
5,,Gary Payton II,G,6-3,190,"December 1, 1992",us,7,Oregon State
6,,Kevon Looney,F-C,6-9,222,"February 6, 1996",us,8,UCLA
7,,Andrew Wiggins,F-G,6-7,197,"February 23, 1995",ca,9,Kansas
8,,Brandin Podziemski,G,6-5,205,"February 25, 2003",us,R,"Illinois, Santa Clara"
9,,Trayce Jackson-Davis,F,6-9,245,"February 22, 2000",us,R,Indiana
10,,Cory Joseph,G,6-3,200,"August 20, 1991",ca,12,Texas
11,,Draymond Green,F,6-6,230,"March 4, 1990",us,11,Michigan State
12,,Dario Šarić,F-C,6-10,225,"April 8, 1994",hr,6,
13,,Lester Quinones (TW),G,6-5,208,"November 16, 2000",us,1,Memphis
