,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Thomas Bryant,C,6-10,248,"July 31, 1997",us,6,Indiana
1,,Alondes Williams,G,6-5,210,"June 19, 1999",us,1,"Triton College, Oklahoma, Wake Forest"
2,,Justin Champagnie,F,6-6,200,"June 29, 2001",us,2,Pitt
3,,Drew Peterson,G,6-9,205,"November 9, 1999",us,R,"Rice University, USC"
4,,Caleb Daniels,G,6-4,210,"May 17, 1999",us,R,"Tulane, Villanova"
5,,Cole Swider,F,6-9,220,"May 8, 1999",us,1,"Villanova, Syracuse"
6,,Jamal Cain (TW),F,6-7,191,"March 20, 1999",us,1,"Marquette, Oakland"
7,,Kevin Love,F,6-8,251,"September 7, 1988",us,15,UCLA
8,,Jamaree Bouyea (TW),G,6-2,180,"June 27, 1999",us,1,San Francisco
9,,Jaime Jaquez Jr.,G-F,6-7,225,"February 18, 2001",us,R,UCLA
10,,Orlando Robinson,F,7-0,235,"July 10, 2000",us,1,Fresno State
11,,Bam Adebayo,C-F,6-9,255,"July 18, 1997",us,6,Kentucky
12,,Josh Richardson,G,6-5,200,"September 15, 1993",us,8,Tennessee
13,,Dru Smith (TW),G,6-3,203,"December 30, 1997",us,1,"University of Evansville, Missouri"
14,,Tyler Herro,G,6-5,195,"January 20, 2000",us,4,Kentucky
15,,Caleb Martin,F,6-5,205,"September 28, 1995",us,4,"NC State, Nevada"
16,,Nikola Jović,G-F,6-10,209,"June 9, 2003",gb,1,
17,,Haywood Highsmith,F,6-7,220,"December 9, 1996",us,3,Wheeling University
18,,Jimmy Butler,F-G,6-7,230,"September 14, 1989",us,12,Marquette
19,,Duncan Robinson,G-F,6-7,215,"April 22, 1994",us,5,"Williams, Michigan"
20,,Kyle Lowry,G,6-0,196,"March 25, 1986",us,17,Villanova
