,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Chuma Okeke,F,6-6,229,"August 18, 1998",us,3,Auburn
1,,Cole Anthony,G,6-2,185,"May 15, 2000",us,3,UNC
2,,Markelle Fultz,G,6-3,209,"May 29, 1998",us,6,Washington
3,,Jonathan Isaac,F,6-11,230,"October 3, 1997",us,4,Florida State
4,,Jalen Suggs,G,6-4,205,"June 3, 2001",us,2,Gonzaga
5,,Franz Wagner,G-F,6-9,225,"August 27, 2001",de,2,Michigan
6,,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,5,Duke
7,,Paolo Banchero,F,6-10,250,"November 12, 2002",us,1,Duke
8,,Caleb Houstan,G-F,6-8,205,"January 9, 2003",ca,1,Michigan
9,,Gary Harris,G,6-4,210,"September 14, 1994",us,9,Michigan State
10,,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,4,
11,,Jett Howard,G,6-8,215,"September 14, 2003",us,R,Michigan
12,,Anthony Black,G,6-7,198,"January 20, 2004",us,R,Arkansas
13,,Joe Ingles,F-G,6-8,220,"October 2, 1987",au,9,
14,,Moritz Wagner,F-C,6-11,245,"April 26, 1997",de,5,Michigan
15,,Admiral Schofield (TW),G-F,6-5,241,"March 30, 1997",gb,3,Tennessee
