,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Marvin Bagley III,F-C,6-11,235,"March 14, 1999",us,5,Duke
1,,Stanley Umude,G,6-6,210,"April 12, 1999",us,1,"South Dakota, Arkansas"
2,,Buddy Boeheim,G,6-6,205,"November 11, 1999",us,1,Syracuse
3,,Tosan Evbuomwan,F,6-8,219,"February 16, 2001",uk,R,Princeton
4,,Marcus Sasser,G,6-2,195,"September 21, 2000",us,R,Houston
5,,Jared Rhoden (TW),G,6-6,210,"August 27, 1999",us,1,Seton Hall
6,,Malcolm Cazalon (TW),G,6-6,212,"August 27, 2001",fr,R,
7,,Ausar Thompson,G,6-7,215,"January 30, 2003",us,R,
8,,Bojan Bogdanović,G-F,6-7,226,"April 18, 1989",ba,9,
9,,Jalen Duren,C,6-10,250,"November 18, 2003",us,1,Memphis
10,,Joe Harris,G,6-6,220,"September 6, 1991",us,9,Virginia
11,,Jaden Ivey,G,6-4,195,"February 13, 2002",us,1,Purdue
12,,Alec Burks,G,6-6,214,"July 20, 1991",us,12,Colorado
13,,Cade Cunningham,G,6-6,220,"September 25, 2001",us,2,Oklahoma State
14,,Isaiah Livers,F,6-7,230,"July 28, 1998",us,2,Michigan
15,,Monte Morris,G,6-2,183,"June 27, 1995",us,6,Iowa State
16,,Isaiah Stewart,F-C,6-8,250,"May 22, 2001",us,3,Washington
17,,Killian Hayes,G,6-5,195,"July 27, 2001",us,3,
18,,James Wiseman,C,7-0,240,"March 31, 2001",us,2,Memphis
