,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,RJ Barrett,G-F,6-6,214,"June 14, 2000",ca,4,Duke
1,,Dmytro Skapintsev,C,7-1,260,"May 12, 1998",ua,R,Cal State Northridge
2,,Obadiah Noel,G,6-4,196,"June 28, 1999",us,R,University of Massachusetts Lowell
3,,Duane Washington Jr.,G,6-3,210,"March 24, 2000",de,2,Ohio State
4,,Dylan Windler (TW),G-F,6-6,196,"September 22, 1996",us,3,Belmont
5,,Nathan Knight (TW),F-C,6-10,253,"September 20, 1997",us,3,William & Mary
6,,Donte DiVincenzo,G,6-4,203,"January 31, 1997",us,5,Villanova
7,,Jacob Toppin,F,6-9,205,"May 8, 2000",us,R,"Rhode Island, Kentucky"
8,,Jaylen Martin (TW),F,6-6,216,"January 28, 2004",us,R,
9,,Isaiah Roby,F,6-8,230,"February 3, 1998",us,4,Nebraska
10,,DaQuan Jeffries,G-F,6-5,230,"August 30, 1997",us,4,"Oral Roberts, Tulsa"
11,,Immanuel Quickley,G,6-3,190,"June 17, 1999",us,3,Kentucky
12,,Isaiah Hartenstein,F,7-0,250,"May 5, 1998",us,5,
13,,Jalen Brunson,G,6-2,190,"August 31, 1996",us,5,Villanova
14,,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,5,Western Kentucky
15,,Jericho Sims,F,6-10,245,"October 20, 1998",us,2,Texas
16,,Julius Randle,F-C,6-8,250,"November 29, 1994",us,9,Kentucky
17,,Josh Hart,G,6-5,215,"March 6, 1995",us,6,Villanova
18,,Evan Fournier,G-F,6-7,205,"October 29, 1992",fr,11,
19,,Quentin Grimes,G,6-5,205,"May 8, 2000",us,2,"Kansas, Houston"
20,,Miles McBride,G,6-2,200,"September 8, 2000",us,2,West Virginia
