,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Brook Lopez,C,7-0,282,"April 1, 1988",us,15,Stanford
1,,TyTy Washington Jr. (TW),G,6-3,197,"November 15, 2001",us,1,Kentucky
2,,Thanasis Antetokounmpo,F,6-6,219,"July 18, 1992",gr,5,
3,,Jazian Gortman,G,6-2,184,"April 14, 2003",us,R,
4,,Jae Crowder,F,6-6,235,"July 6, 1990",us,11,Marquette
5,,Chris Livingston,F,6-6,220,"October 15, 2003",us,R,Kentucky
6,,A.J. Green,G,6-4,200,"September 27, 1999",us,1,University of Northern Iowa
7,,Andre Jackson Jr.,G,6-6,210,"November 13, 2001",us,R,UConn
8,,Khris Middleton,F-G,6-7,222,"August 12, 1991",us,11,Texas A&M
9,,Giannis Antetokounmpo,F-G,7-0,242,"December 6, 1994",gr,10,
10,,Malik Beasley,G,6-4,187,"November 26, 1996",us,7,Florida State
11,,Robin Lopez,C,7-0,281,"April 1, 1988",us,15,Stanford
12,,Pat Connaughton,G,6-5,209,"January 6, 1993",us,8,Notre Dame
13,,MarJon Beauchamp,G,6-6,199,"October 12, 2000",us,1,Yakima Valley Community College
14,,Bobby Portis,F,6-10,250,"February 10, 1995",us,8,Arkansas
15,,Grayson Allen,G,6-4,198,"October 8, 1995",us,5,Duke
16,,Jrue Holiday,G,6-3,205,"June 12, 1990",us,14,UCLA
