,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,CJ McCollum,G,6-3,190,"September 19, 1991",us,10,Lehigh
1,,Kira Lewis Jr.,G,6-1,170,"April 6, 2001",us,3,Alabama
2,,Brandon Ingram,F,6-8,190,"September 2, 1997",us,7,Duke
3,,Naji Marshall,F,6-7,220,"January 24, 1998",us,3,Xavier
4,,Trey Murphy III,F,6-9,206,"June 18, 2000",us,2,"Rice University, Virginia"
5,,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,7,
6,,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,11,
7,,Jose Alvarado,G,6-0,179,"April 12, 1998",us,2,Georgia Tech
8,,Zion Williamson,F-C,6-6,284,"July 6, 2000",us,3,Duke
9,,Dyson Daniels,G,6-8,199,"March 17, 2003",au,1,
10,,Larry Nance Jr.,F-C,6-7,245,"January 1, 1993",us,8,Wyoming
11,,Jordan Hawkins,G,6-5,195,"April 29, 2002",us,R,UConn
12,,Cody Zeller,C-F,6-11,240,"October 5, 1992",us,10,Indiana
13,,Herbert Jones,F,6-8,210,"October 6, 1998",us,2,Alabama
14,,E.J. Liddell,F,6-7,240,"December 18, 2000",us,R,Ohio State
