,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Kristaps Porziņģis,F-C,7-3,240,"August 2, 1995",lv,7,
1,,Jaylen Brown,F-G,6-6,223,"October 24, 1996",us,7,California
2,,Payton Pritchard,G,6-1,195,"January 28, 1998",us,3,Oregon
3,,Jayson Tatum,F,6-8,210,"March 3, 1998",us,6,Duke
4,,Derrick White,G,6-4,190,"July 2, 1994",us,6,"Colorado-Colorado Springs, Colorado"
5,,Robert Williams,C-F,6-9,237,"October 17, 1997",us,5,Texas A&M
6,,Malcolm Brogdon,G,6-5,229,"December 11, 1992",us,7,Virginia
7,,Luke Kornet,C-F,7-2,250,"July 15, 1995",us,6,Vanderbilt
8,,Sam Hauser,F,6-8,215,"December 8, 1997",us,2,"Marquette, Virginia"
9,,Al Horford,C-F,6-9,240,"June 3, 1986",do,16,Florida
10,,Oshae Brissett,F,6-7,210,"June 20, 1998",ca,4,Syracuse
11,,Jordan Walsh,G-F,6-7,205,"March 3, 2004",us,R,Arkansas
12,,JD Davison (TW),G,6-3,195,"October 3, 2002",us,1,Alabama
13,,Dalano Banton,G-F,6-9,204,"November 7, 1999",ca,2,Nebraska
14,,Jay Scrubb (TW),G-F,6-5,220,"September 1, 2000",us,3,John A. Logan College
15,,Svi Mykhailiuk,G-F,6-7,205,"June 10, 1997",ua,5,Kansas
