,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Malaki Branham,G,6-5,180,"May 12, 2003",us,1,Ohio State
1,,Dominick Barlow (TW),F,6-9,221,"May 26, 2003",us,1,
2,,Sidy Cissoko,G,6-8,200,"April 2, 2004",fr,R,
3,,Sandro Mamukelashvili,C-F,6-11,240,"May 23, 1999",us,2,Seton Hall
4,,Tre Jones,G,6-1,185,"January 8, 2000",us,3,Duke
5,,Julian Champagnie,F,6-8,220,"June 29, 2001",us,1,St. John's
6,,Sir'Jabari Rice (TW),G,6-4,180,"December 28, 1998",us,R,"New Mexico State, Texas"
7,,Victor Wembanyama,F-C,7-4,209,"January 4, 2004",fr,R,
8,,Charles Bassey,C,6-11,235,"October 28, 2000",ng,2,Western Kentucky
9,,Keldon Johnson,G,6-5,220,"October 11, 1999",us,4,Kentucky
10,,Cedi Osman,F,6-7,230,"April 8, 1995",mk,6,
11,,Jeremy Sochan,F,6-9,230,"May 20, 2003",us,1,Baylor
12,,Blake Wesley,G,6-5,185,"March 16, 2003",us,1,Notre Dame
13,,Zach Collins,C-F,6-11,250,"November 19, 1997",us,5,Gonzaga
14,,Doug McDermott,F,6-7,225,"January 3, 1992",us,9,Creighton
15,,Khem Birch,C-F,6-9,233,"September 28, 1992",ca,6,"Pitt, UNLV"
16,,Cameron Payne,G,6-1,183,"August 8, 1994",us,8,Murray State
17,,Reggie Bullock,G-F,6-6,205,"March 16, 1991",us,10,UNC
18,,Devonte' Graham,G,6-1,195,"February 22, 1995",us,5,Kansas
19,,Devin Vassell,G-F,6-5,200,"August 23, 2000",us,3,Florida State
